AUC,Accuracy,Business Score
0.6711803360315944,0.6315525212521254,6422.2
0.6664286604515489,0.7240345514551455,6518.0
0.6765549234909939,0.7725754755475548,6687.8
0.6608064714762762,0.7416149714971497,6698.6
0.6661488514657415,0.759995099509951,6705.6
0.674639414766947,0.7798956575657565,6724.4
0.6403598298691298,0.6553530813081309,6744.0
0.669386397582827,0.7744554395439543,6746.4
0.6545998402392101,0.7378546794679469,6750.6
0.6505620773656575,0.7312943934393439,6758.6
0.6699934078307397,0.828876603660366,7125.6
0.6601959332150014,0.8148560376037605,7152.4
0.6645783263358731,0.8240563776377637,7159.4
0.6528557279931462,0.4198283348334833,7180.4
0.6683671922353872,0.8392766276627663,7189.0
0.68310812383037,0.8592971217121711,7239.0
0.6694469575956219,0.8512169236923693,7282.0
0.658929331896158,0.8330564896489647,7305.2
0.6673254058736787,0.8743173497349735,7524.4
0.7560415926633652,0.9156183138313831,7530.8
0.7628113583678754,0.9172183298329832,7588.6
0.6908109412262001,0.898217913791379,7634.6
0.7647697113275929,0.9171983098309833,7641.0
0.6792778232061769,0.8983579177917791,7723.2
0.7070511129735364,0.9077981538153816,7724.2
0.7621948345620162,0.9180983418341834,7745.4
0.6685835051634363,0.8871777597759778,7748.6
0.6566125503499929,0.886817599759976,7748.6
0.6639795399651007,0.8894778637863785,7776.0
0.703190778209699,0.9093981638163816,7796.4
0.754513065477005,0.9180183438343834,7800.2
0.6582322159538899,0.8933577737773778,7805.6
0.7083246439910844,0.9105981738173817,7825.8
0.7634028837385143,0.9189983778377837,7855.2
0.6824004027062077,0.907838101810181,7869.6
0.7586917369154345,0.9193583818381837,7878.6
0.6632772306630176,0.9031380778077807,7878.8
0.6905734103800636,0.9133582638263826,7933.2
0.6648124218636664,0.9114182738273827,7999.4
0.6957967039955854,0.9170383098309831,8009.8
0.7288181808090538,0.9190983678367838,8027.0
0.6931671819886244,0.9182383738373836,8042.8
0.6925328095655672,0.9190783878387838,8056.0
0.7273225601815918,0.9190583818381839,8063.4
0.653948416675813,0.9192783858385839,8072.0
0.6625973968302658,0.21402418041804178,8208.8
0.6407696189602929,0.08072161416141613,9192.6
0.645139775034367,0.08072161416141613,9192.6
0.6550500561924025,0.08072161416141613,9192.6
0.6576180257766644,0.08072161416141613,9192.6
